Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Show,107,9025,2019-09-05 08:03:59.339971+00:00,2019-12-24 22:47:16.906367+00:00,6,0,,,,,,,,
Show,43,9025,2019-08-22 00:28:22.096297+00:00,2019-12-24 22:47:16.109747+00:00,15,2,,,,,,,,
Show,529,9025,2019-08-30 18:45:31.040825+00:00,2019-12-24 22:47:14.347450+00:00,46,9,,,,,,,,
Video,12935,66132,2019-12-23 07:32:30.920119+00:00,2019-12-24 22:47:13.981333+00:00,5,4,,,,,45,45,51,45
Video,13216,9025,2019-08-30 18:47:32.160180+00:00,2019-12-24 22:47:13.847395+00:00,12,1,,TRUE,1,20191124,110,277,193,110
Show,132,66132,2019-12-23 07:36:19.375010+00:00,2019-12-24 22:47:12.444194+00:00,3,0,,,,,,,,
Video,10530,66132,2019-12-23 07:37:04.458978+00:00,2019-12-24 22:47:12.253035+00:00,2,3,,,,,30,30,31,0
Video,9744,26501,2019-10-18 09:11:39.782063+00:00,2019-12-24 22:47:12.130531+00:00,6,1,,TRUE,5,20191224,69,345,100,69
Show,243,66132,2019-12-23 07:32:30.904746+00:00,2019-12-24 22:45:18.529090+00:00,4,0,,,,,,,,
Video,12418,25078,2019-08-28 16:42:27.254822+00:00,2019-12-24 22:45:18.423952+00:00,33,0,,TRUE,29,20191224,128,3731.98002,100,128
Show,584,9025,2019-08-30 18:47:28.570345+00:00,2019-12-24 22:45:17.282705+00:00,15,3,,,,,,,,
Show,541,66132,2019-10-28 00:22:05.452858+00:00,2019-12-24 22:45:14.809861+00:00,3,0,,,,,,,,
Show,46,28781,2019-12-18 01:48:02.880149+00:00,2019-12-24 22:45:12.364479+00:00,3,0,,,,,,,,
Game,131,172757,2019-11-27 01:57:29.123394+00:00,2019-12-24 22:45:07.186858+00:00,9,9,,,,,157.8070002,333.151,,18.80299997
Game,27,172757,2019-11-26 19:09:08.575649+00:00,2019-12-24 22:45:01.135001+00:00,8,8,,,,,101.8440001,133.7950001,,101.8440001
Video,12272,168192,2019-12-24 22:44:55.788333+00:00,2019-12-24 22:44:55.791693+00:00,1,0,,,,,,,,
Video,9845,26501,2019-10-18 09:10:13.350233+00:00,2019-12-24 22:44:55.740372+00:00,6,0,,TRUE,5,20191224,79,395,100,79
Video,935,66132,2019-12-23 00:35:45.590359+00:00,2019-12-24 22:44:55.695253+00:00,3,0,,,,,74,74,70,74
Game,151,172757,2019-12-24 22:44:44.139715+00:00,2019-12-24 22:44:48.948145+00:00,6,6,,,,,,,,
Show,126,28781,2019-09-20 02:05:21.715153+00:00,2019-12-24 22:44:43.316246+00:00,4,0,,,,,,,,
Game,121,172757,2019-12-24 22:44:14.429974+00:00,2019-12-24 22:44:21.125105+00:00,7,7,,,,,,,,
Show,588,28781,2019-12-20 00:32:30.921745+00:00,2019-12-24 22:44:19.275190+00:00,8,0,,,,,,,,
Video,12419,25078,2019-08-28 15:54:50.349663+00:00,2019-12-24 22:44:05.783675+00:00,33,0,,TRUE,28,20191224,128,3805.778222,100,128
Video,9844,26501,2019-10-18 09:08:36.938474+00:00,2019-12-24 22:43:54.009510+00:00,6,1,,TRUE,6,20191224,91,546,100,91
Video,4232,66132,2019-12-23 00:33:52.542860+00:00,2019-12-24 22:43:52.950670+00:00,3,0,,TRUE,1,20191224,111,111,100,111
Game,122,174072,2019-11-30 16:51:45.372201+00:00,2019-12-24 22:40:28.628551+00:00,4,4,TRUE,,,,532.6489999,845.2689998,,312.6199999
Video,12337,25078,2019-08-28 15:52:41.524487+00:00,2019-12-24 22:40:14.791223+00:00,37,0,,TRUE,29,20191224,128,3824.886107,100,128
Video,13736,17251,2019-12-24 22:12:47.294696+00:00,2019-12-24 22:40:13.690974+00:00,4,3,,TRUE,4,20191224,18,77.01769661,100,3
Video,4231,66132,2019-12-23 00:32:02.024949+00:00,2019-12-24 22:40:06.162628+00:00,4,0,,TRUE,1,20191224,109,109,100,109
Game,116,172757,2019-12-24 05:11:51.429827+00:00,2019-12-24 22:40:04.297571+00:00,3,3,,,,,103.638,103.638,,103.638
Game,69,174072,2019-12-24 22:38:56.658098+00:00,2019-12-24 22:38:58.774422+00:00,2,2,,,,,76.54099989,76.54099989,,76.54099989
Video,14004,25805,2019-12-24 22:38:51.780622+00:00,2019-12-24 22:38:56.108044+00:00,1,1,,,,,,,,
Show,589,25805,2019-12-24 22:37:45.338532+00:00,2019-12-24 22:38:51.768566+00:00,3,1,,,,,,,,
Video,12271,168192,2019-12-24 22:38:41.381287+00:00,2019-12-24 22:38:41.384223+00:00,1,0,,TRUE,1,20191224,300,300,100,300
Video,9855,26501,2019-10-18 09:05:20.139339+00:00,2019-12-24 22:38:37.944641+00:00,5,0,,TRUE,5,20191224,190,950,100,190
Video,13996,25805,2019-12-24 22:37:42.615873+00:00,2019-12-24 22:38:34.289560+00:00,2,4,,,,,119,174,15,55
Video,6043,66132,2019-12-23 00:30:12.920640+00:00,2019-12-24 22:38:15.814978+00:00,4,0,,TRUE,2,20191224,108,216,100,108
Game,77,174072,2019-12-24 22:38:10.761695+00:00,2019-12-24 22:38:12.549025+00:00,2,2,,,,,45.84899998,45.84899998,,45.84899998
Video,12338,25078,2019-08-26 02:07:38.585065+00:00,2019-12-24 22:38:02.759252+00:00,44,0,,TRUE,32,20191224,128,4181.914086,100,128
Game,156,172983,2019-12-24 22:37:37.850716+00:00,2019-12-24 22:37:37.853609+00:00,1,1,,,,,,,,
Game,42,172757,2019-12-21 22:49:05.417285+00:00,2019-12-24 22:37:23.281993+00:00,4,4,,,,,133.4300001,181.289,,133.4300001
Video,9565,26501,2019-10-18 09:03:44.629733+00:00,2019-12-24 22:37:06.973502+00:00,6,0,,TRUE,5,20191224,93,491,100,93
Video,13155,9025,2019-08-21 17:02:09.228851+00:00,2019-12-24 22:36:43.200375+00:00,132,25,TRUE,TRUE,15,20191223,890,23555.86294,100,75
Show,580,9025,2019-08-21 17:02:05.754641+00:00,2019-12-24 22:36:39.279471+00:00,180,57,,,,,,,,
Video,936,66132,2019-12-23 00:28:20.663142+00:00,2019-12-24 22:36:22.745018+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Game,51,172757,2019-11-27 01:46:51.047156+00:00,2019-12-24 22:36:00.791574+00:00,4,4,,,,,181.8360002,489.9460001,,52.90899992
Video,12339,25078,2019-08-26 02:05:28.808603+00:00,2019-12-24 22:35:51.819763+00:00,83,3,,TRUE,24,20191224,128,3491.53985,100,31.96803197
Video,9560,26501,2019-10-18 09:02:03.064725+00:00,2019-12-24 22:35:27.869997+00:00,4,0,,TRUE,4,20191224,95,380,100,95
Game,47,174072,2019-11-24 16:55:14.927055+00:00,2019-12-24 22:35:17.175103+00:00,4,4,,,,,154.4259999,226.5829999,,154.4259999
Video,11345,176440,2019-12-24 22:35:10.752888+00:00,2019-12-24 22:35:14.228049+00:00,1,1,,,,,,,,
Video,11197,176440,2019-12-20 23:40:08.640073+00:00,2019-12-24 22:34:47.412933+00:00,10,0,,,,,7862,9214,505,171
Show,542,176440,2019-12-20 23:40:03.396544+00:00,2019-12-24 22:34:41.676227+00:00,9,8,,,,,,,,
Video,1202,66132,2019-12-23 00:26:27.877034+00:00,2019-12-24 22:34:28.838909+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Game,88,172757,2019-12-24 04:52:51.932764+00:00,2019-12-24 22:34:16.958083+00:00,3,3,,,,,874.783,1573.268,,69.13599992
Video,14014,176777,2019-12-24 22:34:05.391337+00:00,2019-12-24 22:34:08.198972+00:00,1,1,,,,,,,,
Video,13348,9025,2019-10-05 13:30:43.679034+00:00,2019-12-24 22:34:00.380664+00:00,3,3,,,,,1897,4559,275,1069
Show,578,9025,2019-09-13 18:24:25.568608+00:00,2019-12-24 22:33:55.903737+00:00,10,2,,,,,,,,
Video,9567,26501,2019-10-18 09:00:20.488018+00:00,2019-12-24 22:33:46.310982+00:00,4,0,,TRUE,4,20191224,98,392,100,98
Video,14005,176777,2019-12-24 22:33:41.167878+00:00,2019-12-24 22:33:44.991465+00:00,1,1,,,,,175,175,19,175
Show,588,176777,2019-12-24 22:33:41.149941+00:00,2019-12-24 22:33:41.153814+00:00,1,1,,,,,,,,
Video,12267,168192,2019-10-21 19:40:47.464858+00:00,2019-12-24 22:33:31.817847+00:00,2,0,,TRUE,1,20191224,300,300,100,300
Game,18,172757,2019-12-24 22:33:30.654952+00:00,2019-12-24 22:33:30.657895+00:00,1,1,,,,,35.46099997,35.46099997,,35.46099997
Video,4074,176777,2019-12-24 22:33:28.221682+00:00,2019-12-24 22:33:28.224283+00:00,1,0,,,,,39,39,11,39
Show,71,176777,2019-12-24 22:33:24.542335+00:00,2019-12-24 22:33:24.545176+00:00,1,0,,,,,,,,
Video,14005,162355,2019-12-19 21:14:25.081778+00:00,2019-12-24 22:33:20.883666+00:00,4,6,,,,,2750,3026,298,276
Video,12936,176777,2019-12-24 22:33:16.494885+00:00,2019-12-24 22:33:16.498254+00:00,1,0,,,,,,,,
Show,588,162355,2019-12-19 21:14:29.305386+00:00,2019-12-24 22:33:14.934548+00:00,13,2,,,,,,,,
Show,132,176777,2019-12-24 22:33:11.038273+00:00,2019-12-24 22:33:11.041072+00:00,1,0,,,,,,,,
Video,752,66132,2019-12-23 00:24:38.569196+00:00,2019-12-24 22:32:38.824548+00:00,4,0,,TRUE,2,20191224,107,214,100,107
Video,10325,9025,2019-08-21 17:04:45.301834+00:00,2019-12-24 22:32:25.952938+00:00,65,1,TRUE,TRUE,11,20191218,195,3272.994667,111,60
Show,536,9025,2019-08-21 17:04:43.332449+00:00,2019-12-24 22:32:22.460346+00:00,85,26,,,,,,,,
Video,9566,26501,2019-10-18 08:57:25.186154+00:00,2019-12-24 22:30:49.294789+00:00,4,0,,TRUE,4,20191224,170,680,100,170
Video,9424,9025,2019-08-27 19:32:34.115436+00:00,2019-12-24 22:30:45.935736+00:00,5,1,,,,,93,95,39,93
Video,6040,66132,2019-12-23 00:22:43.858556+00:00,2019-12-24 22:30:42.838058+00:00,4,0,,TRUE,2,20191224,113,226,100,113
Show,523,9025,2019-08-27 19:32:23.223632+00:00,2019-12-24 22:30:41.407536+00:00,5,0,,,,,,,,
Video,9576,26501,2019-10-18 08:55:40.044312+00:00,2019-12-24 22:29:02.074478+00:00,6,0,,TRUE,4,20191224,99,396,100,99
Video,4230,66132,2019-12-23 00:20:51.158434+00:00,2019-12-24 22:28:49.169382+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Video,12273,168192,2019-12-24 22:28:28.142788+00:00,2019-12-24 22:28:28.145897+00:00,1,0,,TRUE,1,20191224,300,300,100,300
Video,12909,170099,2019-12-24 22:28:25.043256+00:00,2019-12-24 22:28:25.046479+00:00,1,0,,,,,,,,
Video,9575,26501,2019-10-18 08:53:55.766707+00:00,2019-12-24 22:27:18.878280+00:00,6,0,,TRUE,6,20191224,99,594,100,99
Video,552,66132,2019-12-23 00:18:58.460874+00:00,2019-12-24 22:26:55.476184+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Video,10097,175773,2019-12-24 22:26:55.350818+00:00,2019-12-24 22:26:55.353812+00:00,1,0,,,,,,,,
Video,11211,168071,2019-12-24 22:26:38.730877+00:00,2019-12-24 22:26:45.874899+00:00,2,1,,,,,,,,
Game,88,176195,2019-12-23 23:47:59.952295+00:00,2019-12-24 22:26:42.595730+00:00,3,3,,,,,56.46399999,112.487,,56.023
Video,11202,168071,2019-12-24 22:26:35.969029+00:00,2019-12-24 22:26:38.356399+00:00,2,1,,,,,,,,
Video,11201,168071,2019-12-24 04:45:28.579552+00:00,2019-12-24 22:26:36.199094+00:00,5,2,,,,,,,,
Game,156,172757,2019-11-26 19:10:31.241859+00:00,2019-12-24 22:26:32.702458+00:00,46,46,,,,,741.747,2541.542,,405.3119998
